id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
33274,29,services,married,basic.9y,no,no,no,cellular,may,tue,344,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
39476,85,housemaid,married,basic.4y,unknown,yes,no,cellular,apr,tue,167,1,6,2,success,-1.8,93.749,-34.6,0.642,5008.7,1
37216,32,technician,single,professional.course,no,yes,no,telephone,aug,fri,107,2,999,1,failure,-2.9,92.201,-31.4,0.881,5076.2,0
27629,58,retired,married,professional.course,unknown,no,no,cellular,nov,fri,158,3,999,1,failure,-0.1,93.2,-42,4.021,5195.8,0
13151,43,housemaid,married,basic.4y,no,yes,no,cellular,jul,wed,402,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
27165,31,admin.,single,high.school,no,no,no,cellular,nov,fri,89,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
27274,30,admin.,single,university.degree,no,yes,yes,telephone,nov,fri,26,10,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
1305,39,management,married,university.degree,no,no,no,telephone,may,thu,1007,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
3470,50,blue-collar,married,unknown,unknown,no,no,telephone,may,thu,184,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
1981,52,technician,married,university.degree,no,no,no,telephone,may,fri,244,5,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
40098,62,technician,married,unknown,no,unknown,unknown,cellular,jul,mon,220,3,999,1,failure,-1.7,94.215,-40.3,0.827,4991.6,1
11710,56,self-employed,married,university.degree,no,no,no,telephone,jun,fri,129,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
6899,36,admin.,single,high.school,no,yes,no,telephone,may,thu,193,6,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
24907,30,technician,married,professional.course,no,yes,no,cellular,nov,tue,613,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
38863,35,management,married,university.degree,no,no,no,telephone,nov,mon,986,1,7,3,failure,-3.4,92.649,-30.1,0.714,5017.5,0
31963,41,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,434,3,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0
16841,53,blue-collar,married,unknown,unknown,unknown,unknown,telephone,jul,thu,747,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
24114,50,admin.,single,basic.9y,no,unknown,unknown,telephone,nov,thu,45,1,999,0,nonexistent,-0.1,93.2,-42,4.245,5195.8,0
34105,34,services,married,university.degree,no,yes,no,cellular,may,wed,154,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0
2436,42,unemployed,single,university.degree,no,no,no,telephone,may,tue,349,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
12451,47,blue-collar,single,basic.9y,no,yes,yes,telephone,jul,mon,41,9,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
25531,40,technician,married,professional.course,unknown,no,no,cellular,nov,wed,291,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
10562,30,technician,married,high.school,unknown,no,no,telephone,jun,tue,491,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
40883,65,retired,married,basic.4y,no,yes,no,telephone,oct,thu,138,4,999,0,nonexistent,-1.1,94.601,-49.5,0.965,4963.6,0
25124,50,admin.,single,university.degree,no,yes,no,cellular,nov,tue,123,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
32747,36,admin.,single,professional.course,no,yes,no,cellular,may,mon,74,3,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0
24411,47,admin.,divorced,professional.course,no,no,no,cellular,nov,mon,104,1,999,1,failure,-0.1,93.2,-42,4.191,5195.8,0
2075,56,housemaid,divorced,basic.4y,unknown,no,no,telephone,may,mon,86,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
22661,31,technician,married,professional.course,no,yes,no,cellular,aug,fri,270,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
18421,56,entrepreneur,married,basic.4y,unknown,yes,yes,cellular,jul,thu,14,20,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
13623,32,admin.,single,university.degree,no,no,no,cellular,jul,thu,152,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
4751,40,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,951,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
8426,58,retired,married,basic.4y,unknown,yes,no,telephone,jun,tue,137,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
15315,32,self-employed,married,university.degree,unknown,no,no,cellular,jul,fri,172,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
4463,44,management,married,university.degree,no,yes,no,telephone,may,tue,254,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
3163,33,admin.,single,university.degree,no,no,no,telephone,may,thu,134,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
28836,31,admin.,married,high.school,no,yes,no,cellular,apr,thu,399,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
34038,28,blue-collar,single,university.degree,unknown,no,no,cellular,may,wed,169,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
34411,32,technician,single,university.degree,no,no,no,cellular,may,thu,14,8,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
12659,39,services,married,basic.9y,no,no,yes,cellular,jul,mon,51,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
34748,29,blue-collar,married,basic.6y,no,no,yes,cellular,may,thu,93,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
33833,36,blue-collar,married,basic.9y,unknown,no,no,cellular,may,wed,951,3,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,1
34893,33,services,married,high.school,no,yes,no,cellular,may,fri,227,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
3241,50,management,married,university.degree,unknown,no,no,telephone,may,thu,587,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
15671,35,technician,married,professional.course,no,no,yes,cellular,jul,mon,554,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
1029,49,technician,married,high.school,no,yes,no,telephone,may,wed,418,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
34025,51,blue-collar,married,high.school,no,yes,no,cellular,may,wed,809,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,1
21402,31,admin.,single,university.degree,unknown,yes,no,cellular,aug,tue,64,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
33546,33,technician,single,high.school,no,no,no,telephone,may,tue,114,5,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
18699,36,technician,single,professional.course,no,no,no,telephone,jul,thu,237,7,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
19922,60,admin.,married,university.degree,no,no,no,cellular,aug,fri,176,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
14526,31,admin.,married,high.school,unknown,yes,no,cellular,jul,tue,177,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
27225,31,technician,single,university.degree,no,yes,yes,cellular,nov,fri,244,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
15443,47,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,fri,67,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
36841,42,management,single,university.degree,no,unknown,unknown,cellular,jun,mon,83,4,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0
18465,32,technician,single,professional.course,no,yes,no,cellular,jul,thu,128,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
29713,31,services,divorced,high.school,no,no,no,cellular,apr,mon,379,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
7359,34,housemaid,divorced,high.school,no,no,no,telephone,may,fri,553,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,1
7448,30,services,single,professional.course,no,yes,no,telephone,may,fri,120,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
39832,38,technician,single,high.school,no,no,no,telephone,jun,wed,118,1,999,0,nonexistent,-1.7,94.055,-39.8,0.715,4991.6,0
26625,31,unemployed,single,professional.course,no,no,no,cellular,nov,thu,250,1,999,1,failure,-0.1,93.2,-42,4.076,5195.8,0
1918,37,housemaid,single,basic.9y,unknown,yes,yes,telephone,may,fri,136,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
19234,45,blue-collar,married,basic.6y,unknown,yes,yes,cellular,aug,wed,165,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
29817,42,services,married,university.degree,no,yes,no,cellular,apr,mon,155,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
26775,54,housemaid,divorced,university.degree,no,yes,yes,cellular,nov,thu,653,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,1
2008,51,services,divorced,professional.course,no,yes,no,telephone,may,mon,150,7,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
18198,30,unemployed,single,university.degree,no,yes,yes,cellular,jul,wed,266,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
37420,27,unemployed,single,high.school,no,no,no,cellular,aug,wed,93,1,4,3,success,-2.9,92.201,-31.4,0.879,5076.2,0
13943,38,technician,married,professional.course,no,yes,yes,cellular,jul,fri,50,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
29742,29,technician,single,basic.9y,no,unknown,unknown,telephone,apr,mon,116,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
27220,29,technician,single,professional.course,no,no,no,cellular,nov,fri,1480,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,1
33449,25,technician,single,professional.course,no,yes,no,cellular,may,tue,157,5,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
9162,32,technician,single,high.school,no,no,no,telephone,jun,fri,250,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
2168,33,technician,married,professional.course,no,yes,no,telephone,may,mon,307,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
1118,53,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,489,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
5129,48,technician,married,high.school,no,yes,no,telephone,may,fri,360,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
16381,48,services,married,basic.9y,no,yes,yes,cellular,jul,wed,51,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
11128,43,services,married,high.school,no,yes,no,telephone,jun,thu,268,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
15556,28,technician,single,university.degree,no,no,no,cellular,jul,fri,453,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
19461,32,technician,married,university.degree,no,no,yes,cellular,aug,thu,131,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
27293,43,admin.,single,university.degree,no,yes,no,telephone,nov,fri,43,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
4724,43,admin.,married,university.degree,no,no,no,telephone,may,wed,68,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
33306,31,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,97,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
40739,33,technician,married,university.degree,no,yes,no,cellular,sep,wed,110,1,999,1,failure,-1.1,94.199,-37.5,0.876,4963.6,0
6603,30,blue-collar,married,unknown,no,no,no,telephone,may,wed,85,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
11979,36,admin.,married,university.degree,no,yes,no,telephone,jun,wed,67,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
38981,46,admin.,married,university.degree,no,unknown,unknown,cellular,dec,fri,696,10,999,0,nonexistent,-3,92.713,-33,0.718,5023.5,1
27872,54,admin.,married,university.degree,no,no,no,cellular,mar,mon,47,2,999,0,nonexistent,-1.8,92.843,-50,1.56,5099.1,0
12551,35,technician,married,basic.9y,no,yes,no,cellular,jul,mon,448,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
8403,50,services,divorced,basic.4y,unknown,no,no,telephone,jun,tue,80,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
13732,40,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,thu,724,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1
16000,30,services,single,high.school,unknown,yes,no,cellular,jul,tue,40,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
22243,38,technician,married,professional.course,unknown,no,yes,cellular,aug,thu,318,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
11713,44,admin.,divorced,high.school,no,yes,yes,telephone,jun,fri,100,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
17090,50,retired,married,professional.course,no,yes,no,cellular,jul,fri,695,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1
22296,50,technician,married,professional.course,no,yes,yes,cellular,aug,thu,870,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
31318,37,blue-collar,single,professional.course,no,yes,yes,cellular,may,wed,161,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
4915,30,technician,married,university.degree,unknown,yes,no,telephone,may,wed,72,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
34167,49,entrepreneur,married,basic.4y,unknown,yes,no,cellular,may,wed,217,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
9841,30,self-employed,single,university.degree,no,no,no,telephone,jun,wed,587,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1
10217,30,technician,single,university.degree,unknown,yes,no,telephone,jun,mon,405,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
6166,29,services,married,high.school,no,yes,no,telephone,may,tue,95,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
24973,50,self-employed,married,university.degree,no,no,no,telephone,nov,tue,103,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
39304,52,technician,married,basic.9y,no,no,no,cellular,mar,wed,272,3,999,0,nonexistent,-1.8,93.369,-34.8,0.644,5008.7,1
7277,46,self-employed,married,basic.4y,unknown,no,no,telephone,may,thu,35,24,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
10423,28,services,married,unknown,no,no,no,telephone,jun,mon,220,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
14068,37,admin.,single,university.degree,no,no,no,cellular,jul,fri,188,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
14399,34,blue-collar,married,basic.4y,no,no,no,telephone,jul,mon,252,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
382,34,management,single,university.degree,no,no,no,telephone,may,tue,290,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
13958,30,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,1294,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1
39308,28,admin.,single,university.degree,no,yes,no,cellular,mar,thu,370,1,9,1,success,-1.8,93.369,-34.8,0.643,5008.7,0
17867,53,admin.,divorced,high.school,no,no,no,cellular,jul,tue,52,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
2119,38,technician,married,professional.course,no,no,no,telephone,may,mon,80,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
20833,58,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,wed,740,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
33038,25,technician,single,university.degree,no,no,yes,cellular,may,mon,304,3,12,2,failure,-1.8,92.893,-46.2,1.299,5099.1,0
34010,42,blue-collar,married,basic.6y,no,yes,no,cellular,may,wed,172,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
24222,52,services,married,high.school,no,no,no,cellular,nov,mon,40,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
37953,39,blue-collar,married,basic.9y,no,yes,no,cellular,sep,fri,293,1,3,1,success,-3.4,92.379,-29.8,0.803,5017.5,1
5532,55,admin.,married,high.school,no,yes,yes,telephone,may,mon,437,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
29906,37,services,single,professional.course,no,yes,no,cellular,apr,mon,93,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
10580,50,management,married,high.school,unknown,yes,no,telephone,jun,tue,135,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
40769,41,management,divorced,university.degree,no,no,no,cellular,sep,fri,164,5,3,3,success,-1.1,94.199,-37.5,0.879,4963.6,1
28259,46,services,married,high.school,no,no,no,cellular,apr,wed,325,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0
373,22,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
35655,56,retired,married,high.school,no,no,no,cellular,may,mon,317,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
15566,35,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,1373,4,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1
10378,26,admin.,divorced,high.school,no,yes,no,telephone,jun,mon,50,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
23601,57,retired,divorced,university.degree,unknown,no,no,cellular,aug,thu,327,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
3349,29,admin.,single,university.degree,no,no,no,telephone,may,thu,22,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
35621,34,admin.,married,professional.course,no,yes,yes,cellular,may,mon,326,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
